id,saran
1,Lewis Hamilton. ⇒ Ferrari. https://t.co/5vrvD8zFk9
2,@f1speed_indo Apa cuma aku yg ngerasa sejak Cak Lewis ttd kontrak Ferrari makin ganteng begini wak? Pesonanya lo rek woylah @speedingjunkie
3,@bobaiato Line up Ferrari 2025 lewis sm charles jadi carlos cari kerja di team lain Banyak rumor mau ke audi/rbr tapi ya belom jelassszzzzz
4,Adrian Newey ini kalo emang bener pindah ke Ferrari yakin sih Lewis Hamilton bakal joss lagi
5,Adrian Newey ni tua2 Pon laku ea semua F1 team berebut nk dapatkan..pegi Ferrari jela bergabung dgn Lewis Hamilton 
6,Lewis Hamilton en Adrian Newey samen bij Ferrari? #F1 https://t.co/7qU5731Mm5
7,Lewis https://t.co/G5GDp0aCVA https://t.co/4MpAKZQnBu
8,Mercedes? Kompetitif? YANG BENER AJA CHILI Lewis aja pindah ke Ferrari pls ‍
9,Lewis in Ferrari (2025)
10,Lewis Hamilton in Ferrari colors https://t.co/RcbNLmEBHQ
11,ferrari bisa bertiga aja gasi drivernya c² + lewis gitu...
12,@AsepWitoko Tenang.. gak telat kok.. tahun depan kan lewis Hamilton juga pindah ke Ferrari.. jadi klop lah.. lewis juga menang pas newey ada di McLaren kan?
13,POV: Lewis pindah ke Ferrari
14,Ferrari - Sir Lewis Hamilton - Adrian Newey --&gt; make it happen @ScuderiaFerrari
15,apakah ferrari akan jadi tim terakhir lewis hamilton mampukah dia kembali ke kejayaan atau segera pensiun
16,Waw... waw... waw. Ke ferrari plis mister. Yuk bisa yuk. kerja bareng sama sang lejen lewis hamilton dan wujudkan rekor terbaru 8 x juara grandp prix f1.. plis mister. Imejin mastermindnya lejen supirnya lejen mobilnya lejen...
17,lewis hamilton pas pindah ke ferrari:
18,yok bisa yok next season diundang Lewis nonton Ferrari ️️
19,Adrian Newey heading to Ferrari w/ Lewis Hamilton https://t.co/MgNzeI7Bpg
